Title,Author,Price,Link,ISBN
"CUERPO DE MUJER, SABIDURIA DE MUJER",Christiane Northrup,44900,https://feriachilenadellibro.cl/producto/9788417694319-cuerpo-de-mujer-sabiduria-de-mujer/,9788417694319
AYUNAR PARA SANAR. UNA GUIA PARA MUJERES,Mindy Pelz,23900,https://feriachilenadellibro.cl/producto/9788418714375-ayunar-para-sanar-una-guia-para-mujeres/,9788418714375
AURORA RISING,Jay Amie / Kristoff Kaufman,26900,https://feriachilenadellibro.cl/producto/9788419030702-aurora-rising/,9788419030702
ASESINA DE DIOSES,Hannah Kaner,25900,https://feriachilenadellibro.cl/producto/9788419030672-asesina-de-dioses/,9788419030672
UNA TEORIA DE LA DEMOCRACIA COMPLEJA,Daniel Innerarity,24000,https://feriachilenadellibro.cl/producto/9788419075727-una-teoria-de-la-democracia-compleja/,9788419075727
UN DIA MARAVILLOSO : POP UP MINNIE,Vv. Aa.,10000,https://feriachilenadellibro.cl/producto/9789877977103-un-dia-maravilloso-pop-up-minnie/,9789877977103
TODOS LOS CUENTOS : GABRIEL GARCIA MARQUEZ,Gabriel Garcia Marquez,14000,https://feriachilenadellibro.cl/producto/9789875669840-todos-los-cuentos-gabriel-garcia-marquez/,9789875669840
TIERRA MAGICA DE UNICORNIOS Y HADAS ROMPECABEZAS,Vv. Aa.,21400,https://feriachilenadellibro.cl/producto/9789962184409-tierra-magica-de-unicornios-y-hadas-rompecabezas/,9789962184409
TENGO MIEDO,Brian Moses,6900,https://feriachilenadellibro.cl/producto/9789502406398-tengo-miedo/,9789502406398
RULETA DE EMOCIONES,Vv. Aa.,27000,https://feriachilenadellibro.cl/producto/9789564164489-ruleta-de-emociones/,9789564164489
PINTANDO ANIMALES Y PLANTAS DEL MUNDO ANDINO,Sofía Ugarte Choy,8000,https://feriachilenadellibro.cl/producto/9789564049342-pintando-animales-y-plantas-del-mundo-andino/,9789564049342
NO EMPUJES EL RIO,Barry Stevens,7900,https://feriachilenadellibro.cl/producto/9788489333185-no-empujes-el-rio/,9788489333185
