Title,Author,Price,Link,ISBN
Keeping 13 (Spanish Edition),"Walsh, Chloe",20900,https://www.buscalibre.cl/libro-keeping-13-spanish-edition/9788419746993/p/55853628,9788419746993
Heartless,"Meyer, Marissa",23850,https://www.buscalibre.cl/libro-heartless/9789877472547/p/48103421,9789877472547
El Problema de los Tres Cuerpos,Liu Cixin,17080,https://www.buscalibre.cl/libro-el-problema-de-los-tres-cuerpos/9789585566491/p/55270632,9789585566491
"Muchas vidas, muchos maestros",Brian Weiss,11250,https://www.buscalibre.cl/libro-muchas-vidas-muchos-maestros/9789569977442/p/50769358,9789569977442
El Estrecho Sendero Entre Deseos,Rothfuss Patrick,12000,https://www.buscalibre.cl/libro-el-estrecho-sendero-entre-deseos/9789566129691/p/55968560,9789566129691
Misery,Stephen King,9000,https://www.buscalibre.cl/libro-misery/9789563255263/p/54389717,9789563255263
Estuche Saga Meses a Tu Lado / Months by Your Side Saga. Boxed Set,"Marcús, Joana",64900,https://www.buscalibre.cl/libro-estuche-saga-meses-a-tu-lado-months-by-your-side-saga-boxed-set/9788410050907/p/56021323,9788410050907
Neurociencia del Cuerpo: Cómo El Organismo Esculpe El Cerebro,"Castellanos, Nazareth",25420,https://www.buscalibre.cl/libro-neurociencia-del-cuerpo-como-el-organismo-esculpe-el-cerebro/9788499889931/p/54297962,9788499889931
Volver a Empezar (it Starts With us),Colleen Hoover,16480,https://www.buscalibre.cl/libro-volver-a-empezar-it-starts-with-us/9789564082912/p/54454761,9789564082912
Manifiesto para niñas superpoderosas,Nerea De Ugarte López,10500,https://www.buscalibre.cl/libro-manifiesto-para-ninas-superpoderosas/9789566184645/p/55968558,9789566184645
La Guerra de los Huracanes,Thea Guanzon,14780,https://www.buscalibre.cl/libro-la-guerra-de-los-huracanes/9786289591927/p/55984251,9786289591927
Tan Poca Vida,Hanya  Yanagihara,28060,https://www.buscalibre.cl/libro-tan-poca-vida/9789585404175/p/50596250,9789585404175
El Poder de Quererte,María Paz Blanco,16910,https://www.buscalibre.cl/libro-el-poder-de-quererte/9789564082455/p/54374956,9789564082455
