Nombre,Precio,Autor,Imagen
Desaparicion Para Expertos,$19.900,"JACKSON, HOLLY","https://www.antartica.cl/media/catalog/product/9/7/9789566145745_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Una Velada En La Libreria Morisaki,$18.900,"YAGISAWA, SATOSHI","https://www.antartica.cl/media/catalog/product/9/7/9788492919437_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
La Guerra De La Amapola,$27.000,"KUANG, R.F.","https://www.antartica.cl/media/catalog/product/9/7/9788419266903_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Placeres Mortales,$25.900,"MARTINEZ, BELEN","https://www.antartica.cl/media/catalog/product/9/7/9789566196730_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Las Claves Secretas De Shakespeare,$18.000,"BASSO, CARLOS","https://www.antartica.cl/media/catalog/product/9/7/9789566190318_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Sangre De Dioses,$25.900,"MARTINEZ, BELEN","https://www.antartica.cl/media/catalog/product/9/7/9788419252456_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Los Fragiles Hilos Del Poder,$31.900,"SCHWAB, V.E.","https://www.antartica.cl/media/catalog/product/9/7/9788419030665_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
La Chica Mas Fria De Coldtown,$23.000,"BLACK, HOLLY","https://www.antartica.cl/media/catalog/product/9/7/9788419266750_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Fragata Cochrane,$15.000,"VALENZUELA, ANDRES","https://www.antartica.cl/media/catalog/product/9/7/9789566355045_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
La Casa Marionne,$25.900,"ELLE, J.","https://www.antartica.cl/media/catalog/product/9/7/9788419252388_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
La Hija Del Doctor Moreau,$24.900,"MORENO-GARCIA, SILVIA","https://www.antartica.cl/media/catalog/product/9/7/9788492919307_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Atlas Pokemon,$26.000,THE POKEMON COMPANY,"https://www.antartica.cl/media/catalog/product/9/7/9788419650313_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
La Riqueza Que El Dinero No Puede Comprar,$19.000,"SHARMA, ROBIN","https://www.antartica.cl/media/catalog/product/L/a/La_Riqueza_Que_El_Dinero_No_Puede_Comprar_9789562586573_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
De Amor Y Vodka,$17.900,"KAAS, MIMMI","https://www.antartica.cl/media/catalog/product/9/7/9789564085425_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Solo Leveling #7,$23.990,CHUGONG,"https://www.antartica.cl/media/catalog/product/9/7/9788467965292_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Silencio,$23.000,"ALMADA, ARIEL ANDRES","https://www.antartica.cl/media/catalog/product/9/7/9788418302862_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
"Rasputin, El Patriota #6",$16.990,"ITO, JUNJI","https://www.antartica.cl/media/catalog/product/9/7/9788418475108_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
"Rasputin, El Patriota #5",$16.990,"ITO, JUNJI","https://www.antartica.cl/media/catalog/product/9/7/9788418382062_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
"Rasputin, El Patriota #4",$16.990,"ITO, JUNJI","https://www.antartica.cl/media/catalog/product/9/7/9788418293641_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
"Rasputin, El Patriota #3",$16.990,"ITO, JUNJI","https://www.antartica.cl/media/catalog/product/9/7/9788418225444_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
"Rasputin, El Patriota #2",$16.990,"ITO, JUNJI","https://www.antartica.cl/media/catalog/product/9/7/9788418120794_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
"Rasputin, El Patriota #1",$16.990,"ITO, JUNJI","https://www.antartica.cl/media/catalog/product/9/7/9788418094354_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
