Title,Author,Price,Link,ISBN,Description,PublishedDate,ImgUrl,Categories,AvgRating,RatingsCount
Abrázame. Perrito,Tanja Louwers,11610,https://contrapunto.cl/prelectores/10756-abrazame-osito.html,9789562572606,,,,,,
Mujeres que corren con los lobos,Clarissa Pinkola,14400,https://contrapunto.cl/autoayuda-y-espiritualidad/6039-mujeres-que-corren-con-los-lobos.html,9789877801101,,,,,,
Harry Potter y las reliquias de la muerte,J.K. Rowling,16200,https://contrapunto.cl/literatura-ficcion/10055-harry-potter-y-las-reliquias-de-la-muerte.html,9789878000169,,,,,,
Rock Covers,R.Busch/J.Kirby,34920,https://contrapunto.cl/musica/10902-rock-covers.html,9783836576444,"La album art è indissolubilmente legata alle nostre memorie musicali collettive: quando pensate ai vostri dischi preferiti, visualizzate subito la loro copertina. Molti fotografi, illustratori e art director sono diventati celebri grazie alle opere realizzate per gli album musicali, di cui i migliori esempi rimangono nella storia come istituzioni permanenti nella cultura popolare. Un tributo a questa forma d'arte, spesso sottovalutata, Rock Covers vi offre una compilation che include oltre 750 copertine degne di nota, dai dischi leggendari alle uscite più rare. Gli artisti più vari, come Elvis Presley, i Beatles, i Sex Pistols, i Pink Floyd, i Cure, gli Iron Maiden e i Sonic Youth sono stati riuniti qui in una celebrazione delle copertine che hanno definito i loro album. Ogni copertina è accompagnata da una scheda informativa che elenca art director, fotografo/illustratore, anno, etichetta e molto altro, mentre 250 dischi speciali che hanno cambiato la storia della musica, per la band, per l'artista o per il genere musicale, sono evidenziati con brevi descrizioni. Cinque professionisti che hanno fatto la storia del rock rivelano informazioni di prima mano nelle interviste e 10 importanti DJ condividono le loro top-10 di dischi preferiti.",2020,http://books.google.com/books/content?id=4z6bzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Design'],,
Hierbas sagradas,Colección: Guía sagrada,12420,https://contrapunto.cl/medicina-alternativa/11179-guias-sagradas-hierbas-sagradas.html,9789562572682,,,,,,
Ciencia asombrosa. 70 experimentos alucinantes para hacer en casa,Rob Beattie -,18720,https://contrapunto.cl/ciencias-y-naturaleza/3346-ciencia-asombrosa-70-experimentos-para-hacer-en-casa.html,9788414017142,,,,,,
Daniela Pirata,Susana Isern,16020,https://contrapunto.cl/libro-album-ilustrado/2597-daniela-pirata.html,9788417123116,,,,,,
Somos polvo de estrellas para niños y niñas,José María Maza,13410,https://contrapunto.cl/infantil/8260-somos-polvo-de-estrellas-para-ninos-y-ninas.html,9789569992377,,2019,,,,
Cocina sana y feliz 2,Connie Achurra,27000,https://contrapunto.cl/cocina/3015-cocina-sanayfeliz2.html,9789562584951,"""Después del fenómeno de su primer libro, Connia Achurra vuelve con una imperdible variedad de recetas saludables, creativas y de fácil realización: preparaciones para todas las edades como snacks, ensaladas, onces, horneados, cenas livianas y postres. Cocina sana y feliz 2 está concebido como una posibilidad de alegría y autocuidado. Una invitación, a fin de cuentas, a entregar cariño en cualquier momento del día."" --",,,['Cooking'],,
Mi cuaderno de bordado,Colección: Diy,23220,https://contrapunto.cl/tecnicas-de-tejido/1237-diy-mi-cuaderno-de-bordado.html,9788425228919,,,,,,
